EmployeeId;Department;YearsExperience;Salary;RemoteWorker;Country
1;Engineering;2;52000;Yes;NL
2;Engineering;5;68000;Yes;NL
3;Engineering;9;81000;No;DE
4;Engineering;1;47000;Yes;NL
5;Engineering;12;95000;No;FR
6;Sales;3;44000;No;NL
7;Sales;7;58000;Yes;ES
8;Sales;1;39000;No;NL
9;Sales;15;72000;No;DE
10;Sales;4;46000;Yes;IT
11;Marketing;2;41000;Yes;NL
12;Marketing;6;53000;No;PT
13;Marketing;10;64000;Yes;NL
14;Marketing;3;43000;No;SE
15;HR;5;49000;No;NL
16;HR;8;57000;Yes;DE
17;HR;1;36000;No;NL
18;Finance;4;60000;No;NL
19;Finance;11;89000;No;FR
20;Finance;2;51000;Yes;NL
21;Finance;7;71000;No;IT
22;Support;1;35000;Yes;NL
23;Support;3;40000;Yes;ES
24;Support;6;48000;No;NL
25;Support;13;62000;No;DE
26;Engineering;6;70000;Yes;PT
27;Engineering;3;54000;Yes;NL
28;Sales;9;61000;No;SE
29;Marketing;1;38000;Yes;NL
30;HR;12;66000;No;FR
