EmployeeId;Department;YearsExperience;Salary;RemoteWorker;Country
1;Engineering;4;60000;Yes;NL
2;Engineering;8;77000;No;DE
3;Engineering;2;50000;Yes;NL
4;Sales;6;55000;No;NL
5;Sales;2;42000;Yes;BE
6;Sales;10;67000;No;NL
7;Marketing;5;50000;Yes;NL
8;Marketing;1;37000;No;DE
9;HR;3;45000;No;NL
10;HR;9;61000;Yes;FR
11;Finance;5;65000;No;NL
12;Finance;13;92000;No;BE
13;Support;2;39000;Yes;NL
14;Support;7;51000;No;DE
15;Engineering;11;88000;No;NL
16;Sales;3;43000;Yes;IT
17;Marketing;8;58000;No;NL
18;HR;1;35000;Yes;BE
19;Finance;2;53000;No;NL
20;Support;5;46000;Yes;SE
